"customer_num" "arv.time" "wt.time" "st.time" "sp.time" "l.time"
"102" 102 9898.27947180225 8095.0296684789 17993.3091402812 180.641954237813 18173.951094519
"103" 103 10665.6734879184 7508.27760660053 18173.951094519 736.83183628544 18910.7829308044
"104" 104 10694.0436916668 8216.73923913762 18910.7829308044 69.2292153742164 18980.0121461786
"105" 105 10718.5959683042 8261.41617787443 18980.0121461786 133.897735128532 19113.9098813072
"106" 106 10813.5302866719 8300.37959463523 19113.9098813072 121.607517069206 19235.5173983764
"107" 107 10846.955266869 8388.56213150741 19235.5173983764 552.278537730997 19787.7959361074
"108" 108 10939.1225921073 8848.67334400009 19787.7959361074 279.048495463805 20066.8444315712
"109" 109 11083.7477463143 8983.09668525682 20066.8444315712 281.050697438197 20347.8951290094
"110" 110 11127.6910212296 9220.2041077798 20347.8951290094 102.493564384058 20450.3886933934
"111" 111 11154.7762347417 9295.61245865168 20450.3886933934 73.761342940852 20524.1500363343
"112" 112 11207.7042114208 9316.44582491347 20524.1500363343 29.4107607286423 20553.5607970629
"113" 113 11291.2456595321 9262.31513753085 20553.5607970629 42.2208215816929 20595.7816186446
"114" 114 11660.9552084132 8934.82641023146 20595.7816186446 155.67247872416 20751.4540973688
"115" 115 11726.4532436466 9025.00085372215 20751.4540973688 416.143136411572 21167.5972337803
"116" 116 12146.7703028552 9020.82693092514 21167.5972337803 102.183253001422 21269.7804867818
"117" 117 12523.2735602885 8746.50692649329 21269.7804867818 15.7239505369216 21285.5044373187
"118" 118 12615.8489460775 8669.6554912412 21285.5044373187 128.473006034389 21413.9774433531
"119" 119 12617.7023819197 8796.27506143338 21413.9774433531 122.682991186157 21536.6604345392
"120" 120 12720.6837521924 8815.97668234688 21536.6604345392 51.4598958939314 21588.1203304332
"121" 121 12887.7260113486 8700.39431908457 21588.1203304332 374.940833910966 21963.0611643441
"122" 122 12936.5412312724 9026.51993307168 21963.0611643441 379.372179513149 22342.4333438573
"123" 123 12949.873400575 9392.55994328223 22342.4333438573 418.166802763606 22760.6001466209
"124" 124 13256.9396093546 9503.66053726625 22760.6001466209 10.3441209675091 22770.9442675884
"125" 125 13577.6183328685 9193.3259347199 22770.9442675884 933.409357055244 23704.3536246436
"126" 126 13714.9101395389 9989.44348510469 23704.3536246436 60.5246929172426 23764.8783175609
"127" 127 13730.9401147297 10033.9382028312 23764.8783175609 284.207512944715 24049.0858305056
"128" 128 13843.877472682 10205.2083578236 24049.0858305056 183.683533877086 24232.7693643827
"129" 129 13938.3187900341 10294.4505743486 24232.7693643827 40.6220295466483 24273.3913939293
"130" 130 14069.4666247994 10203.9247691299 24273.3913939293 9.0965174138546 24282.4879113432
"131" 131 14116.3611307733 10166.1267805698 24282.4879113432 51.712295031175 24334.2002063744
"132" 132 14211.1892951968 10123.0109111776 24334.2002063744 250.963965749083 24585.1641721234
"133" 133 14223.2571344207 10361.9070377028 24585.1641721234 261.186137445049 24846.3503095685
"134" 134 14301.8378992135 10544.512410355 24846.3503095685 156.233631886431 25002.5839414549
"135" 135 14358.4245121981 10644.1594292569 25002.5839414549 27.2156090979267 25029.7995505528
"136" 136 14376.4181127714 10653.3814377814 25029.7995505528 54.4691079296172 25084.2686584825
"137" 137 14383.2136895264 10701.0549689561 25084.2686584825 6.44362331357842 25090.712281796
"138" 138 14773.7753717901 10316.9369100059 25090.712281796 267.043477765994 25357.755759562
"139" 139 14788.0902222906 10569.6655372714 25357.755759562 327.558044254558 25685.3138038166
"140" 140 14962.279303398 10723.0345004185 25685.3138038166 75.3439178410918 25760.6577216577
"141" 141 15078.5722555059 10682.0854661518 25760.6577216577 53.0030768590381 25813.6607985167
"142" 142 15441.3513163859 10372.3094821308 25813.6607985167 127.479078370967 25941.1398768877
"143" 143 15518.7959630424 10422.3439138453 25941.1398768877 260.868891171783 26202.0087680595
"144" 144 15545.1797890672 10656.8289789922 26202.0087680595 14.6765636527412 26216.6853317122
"145" 145 15643.3777633268 10573.3075683854 26216.6853317122 73.020089501515 26289.7054212137
"146" 146 15658.7293024307 10630.976118783 26289.7054212137 24.5439106598496 26314.2493318736
"147" 147 15678.4793189357 10635.7700129379 26314.2493318736 414.00649275668 26728.2558246303
"148" 148 15842.0799381797 10886.1758864505 26728.2558246303 39.7187773883343 26767.9746020186
"149" 149 16004.4014682709 10763.5731337477 26767.9746020186 162.053283487647 26930.0278855062
"150" 150 16006.8870220882 10923.140863418 26930.0278855062 394.776714384223 27324.8045998905
"151" 151 16153.6333174757 11171.1712824148 27324.8045998905 297.57351400681 27622.3781138973
"152" 152 16174.5151482089 11447.8629656883 27622.3781138973 185.901032827684 27808.2791467249
"153" 153 16184.0673466711 11624.2118000538 27808.2791467249 354.587250455804 28162.8663971807
"154" 154 16186.0235249563 11976.8428722244 28162.8663971807 238.698476787546 28401.5648739683
"155" 155 16198.8542146548 12202.7106593135 28401.5648739683 71.046054828912 28472.6109287972
"156" 156 16217.7246167264 12254.8863120708 28472.6109287972 380.990750884726 28853.6016796819
"157" 157 16459.0302355985 12394.5714440834 28853.6016796819 266.593917402291 29120.1955970842
"158" 158 16506.6991303513 12613.4964667329 29120.1955970842 67.3656928259879 29187.5612899102
"159" 159 16723.8037564157 12463.7575334945 29187.5612899102 0.188580106874568 29187.7498700171
"160" 160 16763.2598792686 12424.4899907485 29187.7498700171 547.078219472918 29734.82808949
"161" 161 16963.9049015017 12770.9231879883 29734.82808949 72.4070910830051 29807.235180573
"162" 162 16989.4856997747 12817.7494807983 29807.235180573 69.9327322683524 29877.1679128414
"163" 163 16994.9069254827 12882.2609873587 29877.1679128414 355.022163848358 30232.1900766897
"164" 164 17022.5178810749 13209.6721956148 30232.1900766897 479.107769742275 30711.297846432
"165" 165 17053.7011335585 13657.5967128735 30711.297846432 315.351187646167 31026.6490340782
"166" 166 17326.1018149944 13700.5472190838 31026.6490340782 44.7266746309653 31071.3757087091
"167" 167 17462.3714346032 13609.0042741059 31071.3757087091 93.3976259082556 31164.7733346174
"168" 168 17684.8927312582 13479.8806033592 31164.7733346174 24.1768591571599 31188.9501937745
"169" 169 17844.9772503042 13343.9729434704 31188.9501937745 68.1483433116227 31257.0985370862
"170" 170 17858.0851855316 13399.0133515545 31257.0985370862 179.768646804176 31436.8671838903
"171" 171 18218.691701147 13399.0133515545 31257.0985370862 179.768646804176 31436.8671838903
